Crack #,Perimeter,Area,Circularity,Aspect Ratio,Height,Width,Angle,X Location,Y Location
29,51.4558,34,0.161369,5.25,4,21,0,156.5,597
47,26.7279,13.5,0.237472,3,3.47851,10.4355,-18.4349,441.5,595
108,72.1838,38.5,0.0928521,1.79775,18.5996,10.346,-35.5377,404.858,592.101
126,48.3848,33.5,0.17982,2.05882,15.6525,7.60263,-63.435,508.3,585.9
138,71.0122,61.5,0.153257,1.8427,19.0646,10.346,-35.5377,452.142,583.899
159,31.5563,15.5,0.1956,2.25,4.70679,10.5903,-11.3099,83.2692,578.346
176,89.0122,107.5,0.170498,1.53333,15,23,-0,241.5,579.5
183,54.5269,49.5,0.209215,1.96809,15.8056,8.03096,-19.9831,687.949,576.609
216,34.7279,23.5,0.244861,1.56863,7.21249,11.3137,-8.1301,341.17,570.19
224,34.9706,24,0.246613,5,3.16228,15.8114,-18.4349,249.6,567.8
233,52.0416,53.5,0.248234,2.71429,7,19,-0,665.5,566.5
242,64.5269,75.5,0.227864,1.39568,11.3873,15.8931,-34.992,202.164,568.235
249,113.983,107.5,0.103978,1.2459,25.1784,20.209,-83.6598,405.409,571.323
260,53.799,35,0.15196,3.5,6,21,-0,293.5,561
263,45.2132,37.5,0.230521,2.32727,6.82191,15.8764,-60.2551,615.531,562.446
266,89.2548,115,0.181403,2.22727,12.2559,27.2972,-68.1986,219.241,569.397
268,60.2843,69,0.238589,2.41176,8.24621,19.8879,-14.0362,119.235,562.941
296,100.912,119,0.14685,3.87698,8.37676,32.4766,-21.4477,245.582,559.164
306,32.1421,15,0.182453,3.09302,12.0413,3.89304,-84.8056,385.172,551.607
307,56.2843,47,0.186438,1.74725,15.2294,8.71622,-73.3008,360.748,555.674
323,173.095,182.5,0.0765423,1.54167,33.8978,21.9878,-76.7595,570.279,559.066
328,48.8701,41.5,0.21836,1.89855,14.2089,7.4841,-77.4712,230.618,550.971
349,44.3848,38.5,0.245585,4.25,4,17,-0,519.5,545
396,42.8701,33.5,0.229059,2.29091,6.43726,14.7472,-20.556,649.377,539.671
409,47.5563,38.5,0.213921,5.45714,21.0924,3.8651,-83.6598,359.378,537.098
419,86.0833,113,0.191624,2.42712,11.9149,28.919,-46.6366,203.741,539.422
420,44.6274,39,0.246077,3.81967,17.4641,4.57214,-77.0054,76.6348,536.416
428,46.3848,42.5,0.248226,2.64815,6.32022,16.7369,-20.556,543.493,534.815
429,74.0416,86.5,0.198278,4.68831,29.9794,6.3945,-85.2364,491.038,535.045
432,63.4558,59,0.184127,4.2549,5.9087,25.1409,-10.008,725.409,533.987
436,37.2132,27.5,0.249545,2.64,14.3174,5.42326,-77.4712,571.659,533.035
439,73.4558,86,0.200288,6.08029,5.26534,32.0148,-2.2026,774.942,530.983
444,196.024,211,0.0690037,2.10435,23.8179,50.1211,-21.2505,115.129,537.617
447,43.2132,36.5,0.245623,2.43478,6.6223,16.1239,-30.2564,527.451,533.487
450,65.3553,76.5,0.225066,2.43307,9.43984,22.9678,-41.9872,332.699,532.721
456,116.811,116.5,0.107292,1.39296,24.4637,17.5624,-78.1113,269.431,536.328
467,76.5269,75.5,0.162005,2.4,10,24,-0,610,529
486,52.0416,42.5,0.197196,3.84545,5.69558,21.9021,-21.2505,152.563,527.948
520,82.5269,85.5,0.157756,1.55372,13.4237,20.8567,-70.56,249.606,524.449
525,23.8995,10.5,0.231005,4,9.70142,2.42536,-75.9638,590.529,516.882
531,82.0833,95,0.177184,2.5,30,12,-0,181,530
544,94.8112,98.5,0.137698,1.91542,12.7124,24.3495,-34.6952,102.66,519.12
566,56.2843,41,0.162637,1.83333,8.48528,15.5563,-45,267,516
588,52.6274,42,0.190561,2.42857,7,17,-0,757.5,509.5
621,67.1127,52,0.145079,2.55696,8.02123,20.51,-23.9625,320.742,507.17
628,74.8701,91.5,0.205123,3.86517,7.39105,28.5676,-4.76364,689.038,503.455
650,89.8406,117.5,0.182937,2.45627,27.4459,11.1738,-77.7352,722.272,500.95
656,68.2843,60,0.161704,2.875,8,23,0,34.5,500
657,54.6274,45,0.189496,2.38356,8.0615,19.2151,-6.34019,627.884,499.957
673,31.8995,18.5,0.228462,1.13158,8.43299,7.45241,-11.3099,302.865,496.327
679,57.9411,66,0.247047,2.66667,21.4663,8.04984,-63.435,444,498
